Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
489,Ronald Reagan,Republican,43904153,50.7
49,Jimmy Carter,Democratic,35483883,41
0,John Anderson,Independent,5720060,6.6
0,All others,--,1405717,1.7
