Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
297,Jimmy Carter,Democratic,40830763,50.1
240,Gerald R. Ford,Republican,39147793,48.0
--,All others,--,1577333,1.9
