Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
277,Woodrow Wilson,Democratic,9126063,49.2
254,Charles E. Hughes,Republican,8547030,46.1
--,All others,--,862352,4.7
