Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
303,Harry S. Truman,Democratic,24105810,49.5
189,Thomas E. Dewey,Republican,21970064,45.1
39,Strom Thurmond,States' Rights,1169114,2.4
--,All others,--,1446506,3.0
