Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
382,Calvin Coolidge,Republican,15724310,54.0
136,John W. Davis,Democratic,8386532,28.8
13,Robert LaFollette,Progressive,4827184,16.6
--,All others,--,161354,0.6
