Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
336,Theodore Roosevelt,Republican,7625599,56.4
140,Alton B. Parker,Democratic,5083501,37.6
--,All others,--,810039,6.0
