Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
435,Woodrow Wilson,Democratic,6294327,41.8
88,Theodore Roosevelt,Progressive,4120207,27.4
8,William Howard Taft,Republican,3486343,23.2
0,Eugene V. Debs,Socialist,900370,6.0
--,All others,--,,1.6
