Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
301,Richard Nixon,Republican,31785480,43.4
191,Hubert Humphrey,Democratic,31275166,42.7
46,George Wallace,American Independent,9906473,13.5
--,All others,--,244756,0.4
