Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
486,Lyndon B. Johnson,Democratic,43129566,61.1
52,Barry Goldwater,Republican,27178188,38.5
--,All others,--,336838,0.4
