Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
449,Franklin D. Roosevelt,Democratic,27243218,54.7
82,Wendell L. Willkie,Republican,22334940,44.8
--,All others,--,238991,0.5
