Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
444,Herbert Hoover,Republican,21432823,58.2
87,Alfred E. Smith,Democratic,15004336,40.8
--,All others,--,364351,1.0
