Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
432,Franklin D. Roosevelt,Democratic,25612610,53.4
99,Thomas E. Dewey,Republican,22014160,45.9
--,All others,--,349900,0.7
