Percent of Popular Vote,Candidate,Party Label,Popular Vote Total
50.7,Ronald Reagan,Republican,43904153
41,Jimmy Carter,Democratic,35483883
6.6,John Anderson,Independent,5720060
1.7,All others,--,1405717
