Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
520,Richard M. Nixon,Republican,47169911,60.7
17,George McGovern,Democratic,29170383,37.5
--,All others,--,1378260,1.8
