Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
442,Dwight D. Eisenhower,Republican,33777945,54.9
89,Adlai Stevenson,Democratic,27314992,44.4
--,All others,--,457981,0.7
