Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
472,Franklin D. Roosevelt,Democratic,22818740,57.4
59,Herbert Hoover,Republican,15760425,39.6
--,All others,--,1168618,3.0
