Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
303,John F. Kennedy,Democratic,34226731,49.7
219,Richard M. Nixon,Republican,34108157,49.5
15,Harry F. Byrd,Democratic,0,0
--,All others,--,503331,0.8
