Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
321,William Howard Taft,Republican,7676598,51.6
162,William Jennings Bryan,Democratic,6406874,43.0
--,All others,--,800626,5.4
