Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
523,Franklin D. Roosevelt,Democratic,27750866,60.8
8,Alfred M. Landon,Republican,16679683,36.5
--,All others,--,1216442,2.7
