Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
457,Dwight D. Eisenhower,Republican,35590472,57.4
73,Adlai Stevenson,Democratic,26022752,42.0
--,All others,--,413684,0.6
