Electoral Vote Total,Candidate,Party Label,Popular Vote Total,Percent of Popular Vote
404,Warren G. Harding,Republican,16151916,60.3
127,James M. Cox,Democratic,9134074,34.1
--,All others,--,1482467,5.6
